wdog_reload restart 0x10000000,TIMEOUT,20180728-162318
wdog_reload start 0x20000000,TIMEOUT,20180728-162418
wdog_reload restart 0x20000000,TIMEOUT,20180728-162518
wdog_fly,TIMEOUT,20180728-162618
wdog_int,TIMEOUT,20180728-162718
gpio_input 0, 1 0,FAIL : fail,20180728-163327
gpio_input 0 0 1,FAIL : fail,20180728-163327
 dma_test_m2m 0 0x3000c000 0x50008000 0x400 0,FAIL : fail,20180728-164424
 dma_test_m2m 0 0x3000c000 0x50008000 0x400 1,FAIL : fail,20180728-164425
 dma_test_m2m 0 0x3000c000 0x50008000 0x800 0,FAIL : fail,20180728-164425
 dma_test_m2m 0 0x3000c000 0x50008000 0x800 1,FAIL : fail,20180728-164427
 dma_test_m2m 0 0x3000c000 0x50030000 0x400 0,FAIL : fail,20180728-164427
 dma_test_m2m 0 0x3000c000 0x50030000 0x400 1,FAIL : fail,20180728-164429
 dma_test_m2m 0 0x3000c000 0x50030000 0x800 0,FAIL : fail,20180728-164429
 dma_test_m2m 0 0x3000c000 0x50030000 0x800 1,FAIL : fail,20180728-164431
 dma_test_m2m 0 0x3000c000 0x500207c8 0x400 0,FAIL : fail,20180728-164431
 dma_test_m2m 0 0x3000c000 0x500207c8 0x400 1,FAIL : fail,20180728-164433
 dma_test_m2m 0 0x3000c000 0x500207c8 0x800 0,FAIL : fail,20180728-164433
 dma_test_m2m 0 0x3000c000 0x500207c8 0x800 1,FAIL : fail,20180728-164435
 dma_test_m2m 0 0x30034000 0x50008000 0x400 0,FAIL : fail,20180728-164451
 dma_test_m2m 0 0x30034000 0x50008000 0x400 1,FAIL : fail,20180728-164452
 dma_test_m2m 0 0x30034000 0x50008000 0x800 0,FAIL : fail,20180728-164452
 dma_test_m2m 0 0x30034000 0x50008000 0x800 1,FAIL : fail,20180728-164454
 dma_test_m2m 0 0x30034000 0x50030000 0x400 0,FAIL : fail,20180728-164454
 dma_test_m2m 0 0x30034000 0x50030000 0x400 1,FAIL : fail,20180728-164456
 dma_test_m2m 0 0x30034000 0x50030000 0x800 0,FAIL : fail,20180728-164456
 dma_test_m2m 0 0x30034000 0x50030000 0x800 1,FAIL : fail,20180728-164458
 dma_test_m2m 0 0x30034000 0x500207c8 0x400 0,FAIL : fail,20180728-164458
 dma_test_m2m 0 0x30034000 0x500207c8 0x400 1,FAIL : fail,20180728-164459
 dma_test_m2m 0 0x30034000 0x500207c8 0x800 0,FAIL : fail,20180728-164500
 dma_test_m2m 0 0x30034000 0x500207c8 0x800 1,FAIL : fail,20180728-164502
 dma_test_m2m 0 0x300283e4 0x30008000 0x400 0,FAIL : fail,20180728-164506
 dma_test_m2m 0 0x300283e4 0x30008000 0x400 1,FAIL : fail,20180728-164507
 dma_test_m2m 0 0x300283e4 0x30008000 0x800 0,FAIL : fail,20180728-164507
 dma_test_m2m 0 0x300283e4 0x30008000 0x800 1,FAIL : fail,20180728-164510
 dma_test_m2m 0 0x300283e4 0x30030000 0x400 0,FAIL : fail,20180728-164510
 dma_test_m2m 0 0x300283e4 0x30030000 0x400 1,FAIL : fail,20180728-164511
 dma_test_m2m 0 0x300283e4 0x30030000 0x800 0,FAIL : fail,20180728-164511
 dma_test_m2m 0 0x300283e4 0x30030000 0x800 1,FAIL : fail,20180728-164513
 dma_test_m2m 0 0x300283e4 0x300207c8 0x400 0,FAIL : fail,20180728-164514
 dma_test_m2m 0 0x300283e4 0x300207c8 0x400 1,FAIL : fail,20180728-164515
 dma_test_m2m 0 0x300283e4 0x300207c8 0x800 0,FAIL : fail,20180728-164515
 dma_test_m2m 0 0x300283e4 0x300207c8 0x800 1,FAIL : fail,20180728-164517
 dma_test_m2m 0 0x300283e4 0x50008000 0x400 0,FAIL : fail,20180728-164518
 dma_test_m2m 0 0x300283e4 0x50008000 0x400 1,FAIL : fail,20180728-164519
 dma_test_m2m 0 0x300283e4 0x50008000 0x800 0,FAIL : fail,20180728-164519
 dma_test_m2m 0 0x300283e4 0x50008000 0x800 1,FAIL : fail,20180728-164521
 dma_test_m2m 0 0x300283e4 0x50030000 0x400 0,FAIL : fail,20180728-164521
 dma_test_m2m 0 0x300283e4 0x50030000 0x400 1,FAIL : fail,20180728-164523
 dma_test_m2m 0 0x300283e4 0x50030000 0x800 0,FAIL : fail,20180728-164523
 dma_test_m2m 0 0x300283e4 0x50030000 0x800 1,FAIL : fail,20180728-164525
 dma_test_m2m 0 0x300283e4 0x500207c8 0x400 0,FAIL : fail,20180728-164525
 dma_test_m2m 0 0x300283e4 0x500207c8 0x400 1,FAIL : fail,20180728-164526
 dma_test_m2m 0 0x300283e4 0x500207c8 0x800 0,FAIL : fail,20180728-164527
 dma_test_m2m 0 0x300283e4 0x500207c8 0x800 1,FAIL : fail,20180728-164529
 dma_test_m2m 0 0x300283e4 0x6015b688 0x400 0,FAIL : fail,20180728-164529
 dma_test_m2m 0 0x300283e4 0x6015b688 0x400 1,FAIL : fail,20180728-164530
 dma_test_m2m 0 0x300283e4 0x6015b688 0x800 0,FAIL : fail,20180728-164531
 dma_test_m2m 0 0x300283e4 0x6015b688 0x800 1,FAIL : fail,20180728-164533
 dma_test_m2m 0 0x5000c000 0x30008000 0x400 0,FAIL : fail,20180728-164533
 dma_test_m2m 0 0x5000c000 0x30008000 0x400 1,FAIL : fail,20180728-164534
 dma_test_m2m 0 0x5000c000 0x30008000 0x800 0,FAIL : fail,20180728-164534
 dma_test_m2m 0 0x5000c000 0x30008000 0x800 1,FAIL : fail,20180728-164537
 dma_test_m2m 0 0x5000c000 0x30030000 0x400 0,FAIL : fail,20180728-164537
 dma_test_m2m 0 0x5000c000 0x30030000 0x400 1,FAIL : fail,20180728-164538
 dma_test_m2m 0 0x5000c000 0x30030000 0x800 0,FAIL : fail,20180728-164538
 dma_test_m2m 0 0x5000c000 0x30030000 0x800 1,FAIL : fail,20180728-164541
 dma_test_m2m 0 0x5000c000 0x300207c8 0x400 0,FAIL : fail,20180728-164541
 dma_test_m2m 0 0x5000c000 0x300207c8 0x400 1,FAIL : fail,20180728-164542
 dma_test_m2m 0 0x5000c000 0x300207c8 0x800 0,FAIL : fail,20180728-164542
 dma_test_m2m 0 0x5000c000 0x300207c8 0x800 1,FAIL : fail,20180728-164544
 dma_test_m2m 0 0x5000c000 0x50008000 0x400 0,FAIL : fail,20180728-164545
 dma_test_m2m 0 0x5000c000 0x50008000 0x400 1,FAIL : fail,20180728-164546
 dma_test_m2m 0 0x5000c000 0x50008000 0x800 0,FAIL : fail,20180728-164546
 dma_test_m2m 0 0x5000c000 0x50008000 0x800 1,FAIL : fail,20180728-164548
 dma_test_m2m 0 0x5000c000 0x50030000 0x400 0,FAIL : fail,20180728-164548
 dma_test_m2m 0 0x5000c000 0x50030000 0x400 1,FAIL : fail,20180728-164550
 dma_test_m2m 0 0x5000c000 0x50030000 0x800 0,FAIL : fail,20180728-164550
 dma_test_m2m 0 0x5000c000 0x50030000 0x800 1,FAIL : fail,20180728-164552
 dma_test_m2m 0 0x5000c000 0x500207c8 0x400 0,FAIL : fail,20180728-164552
 dma_test_m2m 0 0x5000c000 0x500207c8 0x400 1,FAIL : fail,20180728-164554
 dma_test_m2m 0 0x5000c000 0x500207c8 0x800 0,FAIL : fail,20180728-164554
 dma_test_m2m 0 0x5000c000 0x500207c8 0x800 1,FAIL : fail,20180728-164556
 dma_test_m2m 0 0x5000c000 0x6015b688 0x400 0,FAIL : fail,20180728-164556
 dma_test_m2m 0 0x5000c000 0x6015b688 0x400 1,FAIL : fail,20180728-164557
 dma_test_m2m 0 0x5000c000 0x6015b688 0x800 0,FAIL : fail,20180728-164558
 dma_test_m2m 0 0x5000c000 0x6015b688 0x800 1,FAIL : fail,20180728-164600
 dma_test_m2m 0 0x50034000 0x30008000 0x400 0,FAIL : fail,20180728-164600
 dma_test_m2m 0 0x50034000 0x30008000 0x400 1,FAIL : fail,20180728-164601
 dma_test_m2m 0 0x50034000 0x30008000 0x800 0,FAIL : fail,20180728-164601
 dma_test_m2m 0 0x50034000 0x30008000 0x800 1,FAIL : fail,20180728-164604
 dma_test_m2m 0 0x50034000 0x30030000 0x400 0,FAIL : fail,20180728-164604
 dma_test_m2m 0 0x50034000 0x30030000 0x400 1,FAIL : fail,20180728-164605
 dma_test_m2m 0 0x50034000 0x30030000 0x800 0,FAIL : fail,20180728-164605
 dma_test_m2m 0 0x50034000 0x30030000 0x800 1,FAIL : fail,20180728-164608
 dma_test_m2m 0 0x50034000 0x300207c8 0x400 0,FAIL : fail,20180728-164608
 dma_test_m2m 0 0x50034000 0x300207c8 0x400 1,FAIL : fail,20180728-164609
 dma_test_m2m 0 0x50034000 0x300207c8 0x800 0,FAIL : fail,20180728-164609
 dma_test_m2m 0 0x50034000 0x300207c8 0x800 1,FAIL : fail,20180728-164611
 dma_test_m2m 0 0x50034000 0x50008000 0x400 0,FAIL : fail,20180728-164612
 dma_test_m2m 0 0x50034000 0x50008000 0x400 1,FAIL : fail,20180728-164613
 dma_test_m2m 0 0x50034000 0x50008000 0x800 0,FAIL : fail,20180728-164613
 dma_test_m2m 0 0x50034000 0x50008000 0x800 1,FAIL : fail,20180728-164615
 dma_test_m2m 0 0x50034000 0x50030000 0x400 0,FAIL : fail,20180728-164615
 dma_test_m2m 0 0x50034000 0x50030000 0x400 1,FAIL : fail,20180728-164617
 dma_test_m2m 0 0x50034000 0x50030000 0x800 0,FAIL : fail,20180728-164617
 dma_test_m2m 0 0x50034000 0x50030000 0x800 1,FAIL : fail,20180728-164619
 dma_test_m2m 0 0x50034000 0x500207c8 0x400 0,FAIL : fail,20180728-164619
 dma_test_m2m 0 0x50034000 0x500207c8 0x400 1,FAIL : fail,20180728-164621
 dma_test_m2m 0 0x50034000 0x500207c8 0x800 0,FAIL : fail,20180728-164621
 dma_test_m2m 0 0x50034000 0x500207c8 0x800 1,FAIL : fail,20180728-164623
 dma_test_m2m 0 0x50034000 0x6015b688 0x400 0,FAIL : fail,20180728-164623
 dma_test_m2m 0 0x50034000 0x6015b688 0x400 1,FAIL : fail,20180728-164624
 dma_test_m2m 0 0x50034000 0x6015b688 0x800 0,FAIL : fail,20180728-164625
 dma_test_m2m 0 0x50034000 0x6015b688 0x800 1,FAIL : fail,20180728-164627
 dma_test_m2m 0 0x500283e4 0x30008000 0x400 0,FAIL : fail,20180728-164627
 dma_test_m2m 0 0x500283e4 0x30008000 0x400 1,FAIL : fail,20180728-164628
 dma_test_m2m 0 0x500283e4 0x30008000 0x800 0,FAIL : fail,20180728-164628
 dma_test_m2m 0 0x500283e4 0x30008000 0x800 1,FAIL : fail,20180728-164631
 dma_test_m2m 0 0x500283e4 0x30030000 0x400 0,FAIL : fail,20180728-164631
 dma_test_m2m 0 0x500283e4 0x30030000 0x400 1,FAIL : fail,20180728-164632
 dma_test_m2m 0 0x500283e4 0x30030000 0x800 0,FAIL : fail,20180728-164632
 dma_test_m2m 0 0x500283e4 0x30030000 0x800 1,FAIL : fail,20180728-164635
 dma_test_m2m 0 0x500283e4 0x300207c8 0x400 0,FAIL : fail,20180728-164635
 dma_test_m2m 0 0x500283e4 0x300207c8 0x400 1,FAIL : fail,20180728-164636
 dma_test_m2m 0 0x500283e4 0x300207c8 0x800 0,FAIL : fail,20180728-164636
 dma_test_m2m 0 0x500283e4 0x300207c8 0x800 1,FAIL : fail,20180728-164638
 dma_test_m2m 0 0x500283e4 0x50008000 0x400 0,FAIL : fail,20180728-164639
 dma_test_m2m 0 0x500283e4 0x50008000 0x400 1,FAIL : fail,20180728-164640
 dma_test_m2m 0 0x500283e4 0x50008000 0x800 0,FAIL : fail,20180728-164640
 dma_test_m2m 0 0x500283e4 0x50008000 0x800 1,FAIL : fail,20180728-164642
 dma_test_m2m 0 0x500283e4 0x50030000 0x400 0,FAIL : fail,20180728-164642
 dma_test_m2m 0 0x500283e4 0x50030000 0x400 1,FAIL : fail,20180728-164644
 dma_test_m2m 0 0x500283e4 0x50030000 0x800 0,FAIL : fail,20180728-164644
 dma_test_m2m 0 0x500283e4 0x50030000 0x800 1,FAIL : fail,20180728-164646
 dma_test_m2m 0 0x500283e4 0x500207c8 0x400 0,FAIL : fail,20180728-164646
 dma_test_m2m 0 0x500283e4 0x500207c8 0x400 1,FAIL : fail,20180728-164648
 dma_test_m2m 0 0x500283e4 0x500207c8 0x800 0,FAIL : fail,20180728-164648
 dma_test_m2m 0 0x500283e4 0x500207c8 0x800 1,FAIL : fail,20180728-164650
 dma_test_m2m 0 0x500283e4 0x6015b688 0x400 0,FAIL : fail,20180728-164650
 dma_test_m2m 0 0x500283e4 0x6015b688 0x400 1,FAIL : fail,20180728-164651
 dma_test_m2m 0 0x500283e4 0x6015b688 0x800 0,FAIL : fail,20180728-164652
 dma_test_m2m 0 0x500283e4 0x6015b688 0x800 1,FAIL : fail,20180728-164654
 dma_test_m2m 0 0x601ae880 0x50008000 0x400 0,FAIL : fail,20180728-164706
 dma_test_m2m 0 0x601ae880 0x50008000 0x400 1,FAIL : fail,20180728-164707
 dma_test_m2m 0 0x601ae880 0x50008000 0x800 0,FAIL : fail,20180728-164707
 dma_test_m2m 0 0x601ae880 0x50008000 0x800 1,FAIL : fail,20180728-164709
 dma_test_m2m 0 0x601ae880 0x50030000 0x400 0,FAIL : fail,20180728-164709
 dma_test_m2m 0 0x601ae880 0x50030000 0x400 1,FAIL : fail,20180728-164711
 dma_test_m2m 0 0x601ae880 0x50030000 0x800 0,FAIL : fail,20180728-164711
 dma_test_m2m 0 0x601ae880 0x50030000 0x800 1,FAIL : fail,20180728-164713
 dma_test_m2m 0 0x601ae880 0x500207c8 0x400 0,FAIL : fail,20180728-164713
 dma_test_m2m 0 0x601ae880 0x500207c8 0x400 1,FAIL : fail,20180728-164714
 dma_test_m2m 0 0x601ae880 0x500207c8 0x800 0,FAIL : fail,20180728-164715
 dma_test_m2m 0 0x601ae880 0x500207c8 0x800 1,FAIL : fail,20180728-164717
 dma_test_m2m 1 0x3000c000 0x50008000 0x400 0,FAIL : fail,20180728-164732
 dma_test_m2m 1 0x3000c000 0x50008000 0x400 1,FAIL : fail,20180728-164734
 dma_test_m2m 1 0x3000c000 0x50008000 0x800 0,FAIL : fail,20180728-164734
 dma_test_m2m 1 0x3000c000 0x50008000 0x800 1,FAIL : fail,20180728-164736
 dma_test_m2m 1 0x3000c000 0x50030000 0x400 0,FAIL : fail,20180728-164736
 dma_test_m2m 1 0x3000c000 0x50030000 0x400 1,FAIL : fail,20180728-164737
 dma_test_m2m 1 0x3000c000 0x50030000 0x800 0,FAIL : fail,20180728-164738
 dma_test_m2m 1 0x3000c000 0x50030000 0x800 1,FAIL : fail,20180728-164740
 dma_test_m2m 1 0x3000c000 0x500207c8 0x400 0,FAIL : fail,20180728-164740
 dma_test_m2m 1 0x3000c000 0x500207c8 0x400 1,FAIL : fail,20180728-164741
 dma_test_m2m 1 0x3000c000 0x500207c8 0x800 0,FAIL : fail,20180728-164742
 dma_test_m2m 1 0x3000c000 0x500207c8 0x800 1,FAIL : fail,20180728-164744
 dma_test_m2m 1 0x30034000 0x50008000 0x400 0,FAIL : fail,20180728-164759
 dma_test_m2m 1 0x30034000 0x50008000 0x400 1,FAIL : fail,20180728-164801
 dma_test_m2m 1 0x30034000 0x50008000 0x800 0,FAIL : fail,20180728-164801
 dma_test_m2m 1 0x30034000 0x50008000 0x800 1,FAIL : fail,20180728-164803
 dma_test_m2m 1 0x30034000 0x50030000 0x400 0,FAIL : fail,20180728-164803
 dma_test_m2m 1 0x30034000 0x50030000 0x400 1,FAIL : fail,20180728-164804
 dma_test_m2m 1 0x30034000 0x50030000 0x800 0,FAIL : fail,20180728-164805
 dma_test_m2m 1 0x30034000 0x50030000 0x800 1,FAIL : fail,20180728-164807
 dma_test_m2m 1 0x30034000 0x500207c8 0x400 0,FAIL : fail,20180728-164807
 dma_test_m2m 1 0x30034000 0x500207c8 0x400 1,FAIL : fail,20180728-164808
 dma_test_m2m 1 0x30034000 0x500207c8 0x800 0,FAIL : fail,20180728-164808
 dma_test_m2m 1 0x30034000 0x500207c8 0x800 1,FAIL : fail,20180728-164811
 dma_test_m2m 1 0x300283e4 0x30008000 0x400 0,FAIL : fail,20180728-164815
 dma_test_m2m 1 0x300283e4 0x30008000 0x400 1,FAIL : fail,20180728-164816
 dma_test_m2m 1 0x300283e4 0x30008000 0x800 0,FAIL : fail,20180728-164816
 dma_test_m2m 1 0x300283e4 0x30008000 0x800 1,FAIL : fail,20180728-164818
 dma_test_m2m 1 0x300283e4 0x30030000 0x400 0,FAIL : fail,20180728-164819
 dma_test_m2m 1 0x300283e4 0x30030000 0x400 1,FAIL : fail,20180728-164820
 dma_test_m2m 1 0x300283e4 0x30030000 0x800 0,FAIL : fail,20180728-164820
 dma_test_m2m 1 0x300283e4 0x30030000 0x800 1,FAIL : fail,20180728-164822
 dma_test_m2m 1 0x300283e4 0x300207c8 0x400 0,FAIL : fail,20180728-164822
 dma_test_m2m 1 0x300283e4 0x300207c8 0x400 1,FAIL : fail,20180728-164824
 dma_test_m2m 1 0x300283e4 0x300207c8 0x800 0,FAIL : fail,20180728-164824
 dma_test_m2m 1 0x300283e4 0x300207c8 0x800 1,FAIL : fail,20180728-164826
 dma_test_m2m 1 0x300283e4 0x50008000 0x400 0,FAIL : fail,20180728-164826
 dma_test_m2m 1 0x300283e4 0x50008000 0x400 1,FAIL : fail,20180728-164828
 dma_test_m2m 1 0x300283e4 0x50008000 0x800 0,FAIL : fail,20180728-164828
 dma_test_m2m 1 0x300283e4 0x50008000 0x800 1,FAIL : fail,20180728-164830
 dma_test_m2m 1 0x300283e4 0x50030000 0x400 0,FAIL : fail,20180728-164830
 dma_test_m2m 1 0x300283e4 0x50030000 0x400 1,FAIL : fail,20180728-164831
 dma_test_m2m 1 0x300283e4 0x50030000 0x800 0,FAIL : fail,20180728-164832
 dma_test_m2m 1 0x300283e4 0x50030000 0x800 1,FAIL : fail,20180728-164834
 dma_test_m2m 1 0x300283e4 0x500207c8 0x400 0,FAIL : fail,20180728-164834
 dma_test_m2m 1 0x300283e4 0x500207c8 0x400 1,FAIL : fail,20180728-164835
 dma_test_m2m 1 0x300283e4 0x500207c8 0x800 0,FAIL : fail,20180728-164835
 dma_test_m2m 1 0x300283e4 0x500207c8 0x800 1,FAIL : fail,20180728-164838
 dma_test_m2m 1 0x300283e4 0x6015b688 0x400 0,FAIL : fail,20180728-164838
 dma_test_m2m 1 0x300283e4 0x6015b688 0x400 1,FAIL : fail,20180728-164839
 dma_test_m2m 1 0x300283e4 0x6015b688 0x800 0,FAIL : fail,20180728-164839
 dma_test_m2m 1 0x300283e4 0x6015b688 0x800 1,FAIL : fail,20180728-164842
 dma_test_m2m 1 0x5000c000 0x30008000 0x400 0,FAIL : fail,20180728-164842
 dma_test_m2m 1 0x5000c000 0x30008000 0x400 1,FAIL : fail,20180728-164843
 dma_test_m2m 1 0x5000c000 0x30008000 0x800 0,FAIL : fail,20180728-164843
 dma_test_m2m 1 0x5000c000 0x30008000 0x800 1,FAIL : fail,20180728-164845
 dma_test_m2m 1 0x5000c000 0x30030000 0x400 0,FAIL : fail,20180728-164846
 dma_test_m2m 1 0x5000c000 0x30030000 0x400 1,FAIL : fail,20180728-164847
 dma_test_m2m 1 0x5000c000 0x30030000 0x800 0,FAIL : fail,20180728-164847
 dma_test_m2m 1 0x5000c000 0x30030000 0x800 1,FAIL : fail,20180728-164849
 dma_test_m2m 1 0x5000c000 0x300207c8 0x400 0,FAIL : fail,20180728-164850
 dma_test_m2m 1 0x5000c000 0x300207c8 0x400 1,FAIL : fail,20180728-164851
 dma_test_m2m 1 0x5000c000 0x300207c8 0x800 0,FAIL : fail,20180728-164851
 dma_test_m2m 1 0x5000c000 0x300207c8 0x800 1,FAIL : fail,20180728-164853
 dma_test_m2m 1 0x5000c000 0x50008000 0x400 0,FAIL : fail,20180728-164853
 dma_test_m2m 1 0x5000c000 0x50008000 0x400 1,FAIL : fail,20180728-164855
 dma_test_m2m 1 0x5000c000 0x50008000 0x800 0,FAIL : fail,20180728-164855
 dma_test_m2m 1 0x5000c000 0x50008000 0x800 1,FAIL : fail,20180728-164857
 dma_test_m2m 1 0x5000c000 0x50030000 0x400 0,FAIL : fail,20180728-164857
 dma_test_m2m 1 0x5000c000 0x50030000 0x400 1,FAIL : fail,20180728-164859
 dma_test_m2m 1 0x5000c000 0x50030000 0x800 0,FAIL : fail,20180728-164859
 dma_test_m2m 1 0x5000c000 0x50030000 0x800 1,FAIL : fail,20180728-164901
 dma_test_m2m 1 0x5000c000 0x500207c8 0x400 0,FAIL : fail,20180728-164901
 dma_test_m2m 1 0x5000c000 0x500207c8 0x400 1,FAIL : fail,20180728-164902
 dma_test_m2m 1 0x5000c000 0x500207c8 0x800 0,FAIL : fail,20180728-164903
 dma_test_m2m 1 0x5000c000 0x500207c8 0x800 1,FAIL : fail,20180728-164905
 dma_test_m2m 1 0x5000c000 0x6015b688 0x400 0,FAIL : fail,20180728-164905
 dma_test_m2m 1 0x5000c000 0x6015b688 0x400 1,FAIL : fail,20180728-164906
 dma_test_m2m 1 0x5000c000 0x6015b688 0x800 0,FAIL : fail,20180728-164906
 dma_test_m2m 1 0x5000c000 0x6015b688 0x800 1,FAIL : fail,20180728-164909
 dma_test_m2m 1 0x50034000 0x30008000 0x400 0,FAIL : fail,20180728-164909
 dma_test_m2m 1 0x50034000 0x30008000 0x400 1,FAIL : fail,20180728-164910
 dma_test_m2m 1 0x50034000 0x30008000 0x800 0,FAIL : fail,20180728-164910
 dma_test_m2m 1 0x50034000 0x30008000 0x800 1,FAIL : fail,20180728-164913
 dma_test_m2m 1 0x50034000 0x30030000 0x400 0,FAIL : fail,20180728-164913
 dma_test_m2m 1 0x50034000 0x30030000 0x400 1,FAIL : fail,20180728-164914
 dma_test_m2m 1 0x50034000 0x30030000 0x800 0,FAIL : fail,20180728-164914
 dma_test_m2m 1 0x50034000 0x30030000 0x800 1,FAIL : fail,20180728-164916
 dma_test_m2m 1 0x50034000 0x300207c8 0x400 0,FAIL : fail,20180728-164917
 dma_test_m2m 1 0x50034000 0x300207c8 0x400 1,FAIL : fail,20180728-164918
 dma_test_m2m 1 0x50034000 0x300207c8 0x800 0,FAIL : fail,20180728-164918
 dma_test_m2m 1 0x50034000 0x300207c8 0x800 1,FAIL : fail,20180728-164920
 dma_test_m2m 1 0x50034000 0x50008000 0x400 0,FAIL : fail,20180728-164921
 dma_test_m2m 1 0x50034000 0x50008000 0x400 1,FAIL : fail,20180728-164922
 dma_test_m2m 1 0x50034000 0x50008000 0x800 0,FAIL : fail,20180728-164922
 dma_test_m2m 1 0x50034000 0x50008000 0x800 1,FAIL : fail,20180728-164924
 dma_test_m2m 1 0x50034000 0x50030000 0x400 0,FAIL : fail,20180728-164924
 dma_test_m2m 1 0x50034000 0x50030000 0x400 1,FAIL : fail,20180728-164926
 dma_test_m2m 1 0x50034000 0x50030000 0x800 0,FAIL : fail,20180728-164926
 dma_test_m2m 1 0x50034000 0x50030000 0x800 1,FAIL : fail,20180728-164928
 dma_test_m2m 1 0x50034000 0x500207c8 0x400 0,FAIL : fail,20180728-164928
 dma_test_m2m 1 0x50034000 0x500207c8 0x400 1,FAIL : fail,20180728-164930
 dma_test_m2m 1 0x50034000 0x500207c8 0x800 0,FAIL : fail,20180728-164930
 dma_test_m2m 1 0x50034000 0x500207c8 0x800 1,FAIL : fail,20180728-164932
